0.44,-0.21,9.64,7826.00
0.40,-0.27,9.63,7831.00
0.37,-0.23,9.74,7838.00
0.34,-0.19,9.71,7844.00
0.36,-0.15,9.65,7849.00
0.37,-0.13,9.65,7855.00
0.47,-0.10,9.72,7861.00
0.49,-0.09,9.70,7867.00
0.54,-0.08,9.71,7873.00
0.57,-0.14,9.64,7879.00
0.57,-0.18,9.63,7884.00
0.58,-0.17,9.65,7889.00
0.58,-0.22,9.72,7894.00
0.59,-0.18,9.73,7900.00
0.59,-0.25,9.63,7906.00
0.59,-0.34,9.70,7912.00
0.60,-0.35,9.59,7918.00
0.71,-0.55,9.65,7923.00
0.67,-0.52,9.67,7929.00
0.53,-0.55,9.59,7934.00
0.44,-0.63,9.61,7940.00
0.36,-0.66,9.64,7946.00
0.36,-0.76,9.62,7952.00
0.38,-0.81,9.65,7958.00
0.40,-0.88,9.61,7964.00
0.48,-0.91,9.61,7969.00
0.38,-0.92,9.55,7974.00
0.38,-0.94,9.58,7980.00
0.38,-0.97,9.70,7985.00
0.43,-0.89,9.64,7992.00
0.45,-0.93,9.71,7997.00
0.43,-0.86,9.68,8003.00
0.46,-0.93,9.68,8008.00
0.45,-0.98,9.75,8014.00
0.41,-0.91,9.68,8021.00
0.42,-0.92,9.63,8027.00
0.46,-0.93,9.64,8032.00
0.49,-0.97,9.62,8038.00
0.53,-0.93,9.60,8044.00
0.55,-1.03,9.64,8050.00
0.53,-0.96,9.61,8056.00
0.50,-0.95,9.61,8061.00
0.49,-0.97,9.62,8067.00
0.51,-0.96,9.67,8073.00
0.50,-0.91,9.67,8080.00
0.48,-0.99,9.64,8086.00
0.45,-1.02,9.65,8092.00
0.47,-0.98,9.65,8097.00
0.43,-0.98,9.66,8103.00
0.43,-0.98,9.67,8108.00
0.44,-0.90,9.66,8114.00
0.45,-0.81,9.64,8119.00
0.46,-0.77,9.65,8125.00
0.46,-0.67,9.67,8130.00
0.45,-0.64,9.64,8135.00
0.43,-0.66,9.64,8140.00
0.44,-0.57,9.65,8146.00
0.48,-0.48,9.68,8151.00
0.46,-0.49,9.67,8156.00
0.48,-0.42,9.68,8161.00
0.48,-0.37,9.69,8167.00
0.48,-0.37,9.70,8172.00
0.49,-0.34,9.68,8177.00
0.50,-0.32,9.68,8183.00
0.52,-0.28,9.69,8189.00
0.55,-0.21,9.71,8195.00
0.56,-0.23,9.70,8200.00
0.51,-0.21,9.69,8206.00
0.54,-0.25,9.72,8211.00
0.56,-0.18,9.66,8216.00
0.58,-0.27,9.66,8221.00
0.61,-0.27,9.68,8227.00
0.59,-0.25,9.67,8232.00
0.63,-0.28,9.73,8237.00
0.63,-0.33,9.67,8242.00
0.57,-0.44,9.63,8248.00
0.55,-0.41,9.61,8255.00
0.59,-0.37,9.62,8261.00
0.61,-0.29,9.66,8266.00
0.53,-0.37,9.64,8273.00
0.51,-0.40,9.64,8279.00
0.54,-0.43,9.70,8285.00
0.56,-0.36,9.68,8291.00
0.51,-0.40,9.66,8296.00
0.53,-0.41,9.70,8302.00
0.57,-0.46,9.76,8307.00
0.40,-0.50,9.63,8312.00
0.52,-0.51,9.70,8317.00
0.49,-0.49,9.65,8322.00
0.44,-0.56,9.63,8327.00
0.44,-0.59,9.65,8332.00
0.44,-0.61,9.61,8338.00
0.45,-0.72,9.58,8343.00
0.46,-0.76,9.59,8348.00
0.52,-0.76,9.61,8353.00
0.48,-0.82,9.64,8358.00
0.45,-0.75,9.71,8363.00
0.41,-0.65,9.74,8368.00
0.45,-0.60,9.72,8374.00
0.53,-0.53,9.71,8379.00
0.54,-0.51,9.59,8384.00
0.55,-0.56,9.63,8389.00
0.46,-0.54,9.63,8394.00
0.41,-0.55,9.63,8400.00
0.44,-0.53,9.65,8405.00
0.44,-0.57,9.60,8410.00
0.50,-0.58,9.63,8415.00
0.48,-0.56,9.64,8420.00
0.46,-0.49,9.65,8426.00
0.59,-0.54,9.72,8431.00
0.48,-0.51,9.68,8436.00
0.47,-0.40,9.74,8441.00
0.53,-0.43,9.68,8446.00
0.57,-0.42,9.64,8451.00
0.53,-0.51,9.61,8456.00
0.61,-0.50,9.68,8462.00
0.58,-0.51,9.67,8467.00
0.50,-0.52,9.68,8472.00
0.56,-0.45,9.66,8477.00
0.57,-0.52,9.62,8483.00
0.57,-0.54,9.60,8488.00
0.54,-0.48,9.61,8493.00
0.59,-0.47,9.63,8498.00
0.57,-0.48,9.64,8503.00
0.59,-0.46,9.66,8508.00
0.62,-0.49,9.64,8514.00
0.58,-0.53,9.66,8519.00
0.46,-0.49,9.70,8524.00
0.55,-0.49,9.70,8529.00
0.56,-0.52,9.66,8534.00
0.53,-0.65,9.67,8540.00
0.51,-0.53,9.73,8545.00
0.51,-0.40,9.69,8550.00
0.60,-0.51,9.65,8555.00
0.55,-0.48,9.63,8560.00
0.55,-0.62,9.65,8565.00
0.50,-0.69,9.67,8570.00
0.47,-0.60,9.67,8576.00
0.47,-0.49,9.64,8581.00
0.52,-0.58,9.65,8586.00
0.53,-0.64,9.65,8591.00
0.51,-0.69,9.64,8596.00
0.47,-0.71,9.62,8601.00
0.51,-0.67,9.62,8606.00
0.44,-0.68,9.59,8611.00
0.39,-0.65,9.61,8616.00
0.45,-0.59,9.67,8622.00
0.46,-0.45,9.70,8627.00
0.50,-0.47,9.64,8632.00
0.52,-0.45,9.68,8637.00
0.55,-0.42,9.66,8642.00
0.59,-0.42,9.70,8648.00
0.47,-0.43,9.65,8653.00
0.51,-0.44,9.64,8658.00
0.51,-0.41,9.69,8663.00
0.47,-0.41,9.65,8668.00
0.50,-0.46,9.63,8673.00
0.58,-0.44,9.65,8679.00
0.57,-0.48,9.51,8684.00
0.58,-0.43,9.55,8689.00
0.58,-0.44,9.58,8694.00
0.47,-0.48,9.68,8700.00
0.52,-0.41,9.70,8706.00
0.47,-0.43,9.72,8712.00
0.46,-0.36,9.79,8717.00
0.43,-0.33,9.75,8722.00
0.50,-0.24,9.76,8728.00
0.51,-0.25,9.68,8734.00
0.53,-0.30,9.66,8739.00
0.52,-0.28,9.74,8745.00
0.49,-0.28,9.74,8752.00
0.47,-0.31,9.65,8757.00
0.50,-0.31,9.61,8763.00
0.57,-0.33,9.68,8769.00
0.55,-0.41,9.69,8775.00
0.44,-0.40,9.63,8780.00
0.51,-0.37,9.59,8786.00
0.49,-0.42,9.63,8793.00
0.45,-0.37,9.60,8798.00
0.43,-0.40,9.51,8803.00
0.51,-0.40,9.58,8809.00
0.44,-0.44,9.54,8815.00
0.54,-0.42,9.59,8821.00
0.53,-0.42,9.63,8827.00
0.49,-0.48,9.64,8833.00
0.49,-0.42,9.68,8838.00
0.48,-0.42,9.66,8844.00
0.48,-0.39,9.65,8850.00
0.47,-0.48,9.65,8855.00
0.50,-0.42,9.67,8861.00
0.51,-0.43,9.65,8867.00
0.51,-0.45,9.54,8872.00
0.66,-0.41,9.56,8879.00
0.57,-0.45,9.54,8884.00
0.47,-0.47,9.80,8889.00
0.42,-0.40,9.64,8895.00
0.47,-0.51,9.59,8900.00
0.61,-0.49,9.70,8905.00
0.51,-0.47,9.52,8911.00
0.62,-0.50,9.59,8916.00
0.58,-0.50,9.56,8922.00
0.55,-0.51,9.44,8928.00
0.41,-0.71,9.75,8933.00
0.33,-0.52,9.67,8939.00
0.40,-0.44,9.67,8945.00
0.36,-0.52,9.69,8950.00
0.41,-0.54,9.66,8955.00
0.48,-0.35,9.63,8962.00
0.48,-0.39,9.62,8967.00
0.48,-0.41,9.60,8973.00
0.52,-0.39,9.72,8979.00
0.50,-0.31,9.67,8985.00
0.56,-0.23,9.68,8990.00
0.46,-0.33,9.65,8996.00
0.52,-0.25,9.72,9001.00
